개방서비스명,소재지전화,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,좌표정보(x),좌표정보(y)
동물병원,571-9114,광주광역시 북구 일곡동 843-5번지,광주광역시 북구 양일로305번길 8 (일곡동),61040,일곡동물병원,190562.9092,189333.0171
동물병원,,광주광역시 북구 임동 5-16,광주광역시 북구 태봉로 37-6 (임동),61244,우리동물병원,191120.42,184715.8661
동물병원,062-574-7975,광주광역시 북구 양산동 254-123,"광주광역시 북구 하서로 371, 1층 (양산동)",61074,참좋은 동물병원,188403.3482,189881.7854
동물병원,062-419-7582,광주광역시 북구 우산동 609-3,광주광역시 북구 중문로 74 (우산동),61172,빛고을 동물의료센터,192695.3842,186661.031
동물병원,062-571-0011,광주광역시 북구 매곡동 370-7번지,광주광역시 북구 하백로5번길 1 (매곡동),61066,24시 언제나 동물병원,189946.299,187637.9188
동물병원,526-3575,광주광역시 북구 신안동 479-36,광주광역시 북구 서암대로 167 (신안동),,유동물병원,191045.1449,185577.1956
동물병원,062-576-7585,광주광역시 북구 삼각동 780-1,광주광역시 북구 설죽로471번길 101-102 (삼각동),61057,이든동물병원,190722.9652,189129.9409
동물병원,062-574-8276,광주광역시 북구 지야동 803-11,"광주광역시 북구 하서로 652-15, 2층 (지야동)",61027,소담동물병원(출장전문),189626.3946,192397.1021
동물병원,062-571-2808,광주광역시 북구 본촌동 378-6 동물보호소,"광주광역시 북구 본촌마을길 27, 동물보호소 (본촌동)",61027,광주동물보호소 부속동물병원,189132.5237,191478.4166
동물병원,053-950-6898,대구광역시 북구 산격동 1370-1 경북대학교 수의과대학,"대구광역시 북구 대학로 80 (산격동, 경북대학교 수의과대학)",41566,경북대학교 수의과대학 부속동물병원,345299.7424,266806.4432
동물병원,053-384-9907,대구광역시 북구 검단동 700-2,대구광역시 북구 검단북로 154 (검단동),,대구축협동물병원,346441.1275,269593.3256
동물병원,325-7579,대구광역시 북구 관음동 1383-14,대구광역시 북구 칠곡중앙대로 483 (관음동),,강동물병원,339729.1289,272059.6403
동물병원,053-312-7975,대구광역시 북구 태전동 1113,대구광역시 북구 칠곡중앙대로 189 (태전동),41471,다온동물병원,339665.6807,269186.6425
동물병원,053-352-1998,대구광역시 북구 칠성동2가 2-2,"대구광역시 북구 침산로21길 23 (칠성동2가, 침산1차푸르지오)",41593,신한동물병원,343318.9557,266167.7849
동물병원,322-0041,대구광역시 북구 읍내동 781-1,대구광역시 북구 칠곡중앙대로 531 (읍내동),41442,동명동물병원,339825.6956,272538.8772
동물병원,324-0116,대구광역시 북구 동천동 932-4,대구광역시 북구 대천로 72-1 (동천동),,굿모닝동물병원,340446.1276,271863.4358
동물병원,954-3395,대구광역시 북구 산격동 1216-4,대구광역시 북구 산격로 109 (산격동),,가나동물병원,345123.9589,267760.0909
동물병원,053-322-9075,대구광역시 북구 관음동 1386-7,대구광역시 북구 칠곡중앙대로 471 (관음동),,늘푸른종합동물병원,339699.9293,271940.2976
동물병원,053-314-0075,대구광역시 북구 동천동 668-1 13통5반 칠곡홈플러스 301호,"대구광역시 북구 동암로12길 8, 2층 (동천동, 칠곡홈플러스)",41422,도그플러스 동물병원(미유펫 대구점),340320.7227,272735.6757
동물병원,053-326-2557,대구광역시 북구 태전동 1195,"대구광역시 북구 학정로 149, 한우리메디타워 2층 204호 (태전동)",41467,순풍동물병원,339911.3593,270114.9105
동물병원,02-831-0075,서울특별시 영등포구 신길동 324-49 영민빌딩 1층,"서울특별시 영등포구 가마산로 449-1, 영민빌딩 1층 (신길동)",7383,다움동물병원,191647.1628,444844.7641
